TimeFrom,TimeTo,HeatDemand,ElectricityPrice
08/02/2023 00:00:00,08/02/2023 01:00:00,6.61926137397263,1190.94
08/02/2023 01:00:00,08/02/2023 02:00:00,6.84601174916373,1154.55
08/02/2023 02:00:00,08/02/2023 03:00:00,6.97667316127141,1116.22
08/02/2023 03:00:00,08/02/2023 04:00:00,7.04079574186299,1101.12
08/02/2023 04:00:00,08/02/2023 05:00:00,7.7221662416882,1086.24
08/02/2023 05:00:00,08/02/2023 06:00:00,7.84574178658512,1109.53
08/02/2023 06:00:00,08/02/2023 07:00:00,8.1469459606584,1307.4
08/02/2023 07:00:00,08/02/2023 08:00:00,7.61517922700538,1463.3
08/02/2023 08:00:00,08/02/2023 09:00:00,7.54527416660282,1608.78
08/02/2023 09:00:00,08/02/2023 10:00:00,7.60395778717889,1309.7
08/02/2023 10:00:00,08/02/2023 11:00:00,7.75454274191538,952.51
08/02/2023 11:00:00,08/02/2023 12:00:00,7.0587958264343,882.93
08/02/2023 12:00:00,08/02/2023 13:00:00,6.6772910517825,860.31
08/02/2023 13:00:00,08/02/2023 14:00:00,6.73449130641037,854.88
08/02/2023 14:00:00,08/02/2023 15:00:00,6.83665443593052,850.12
08/02/2023 15:00:00,08/02/2023 16:00:00,7.29602842480023,933.09
08/02/2023 16:00:00,08/02/2023 17:00:00,7.39383093677547,953.26
08/02/2023 17:00:00,08/02/2023 18:00:00,7.68056934234593,951.1
08/02/2023 18:00:00,08/02/2023 19:00:00,7.37601673880869,765.21
08/02/2023 19:00:00,08/02/2023 20:00:00,7.39913933594386,716.47
08/02/2023 20:00:00,08/02/2023 21:00:00,7.56304070187516,696.3
08/02/2023 21:00:00,08/02/2023 22:00:00,7.68643294576936,665.34
08/02/2023 22:00:00,08/02/2023 23:00:00,7.65757180245823,663.56
08/02/2023 23:00:00,09/02/2023 00:00:00,7.53617416924954,636.77
09/02/2023 00:00:00,09/02/2023 01:00:00,7.58119755676879,615.31
09/02/2023 01:00:00,09/02/2023 02:00:00,7.68164923966567,588.89
09/02/2023 02:00:00,09/02/2023 03:00:00,7.7117757886733,577.88
09/02/2023 03:00:00,09/02/2023 04:00:00,7.70081620906459,577.66
09/02/2023 04:00:00,09/02/2023 05:00:00,8.1556127040675,583.16
09/02/2023 05:00:00,09/02/2023 06:00:00,8.44995183348841,617.99
09/02/2023 06:00:00,09/02/2023 07:00:00,8.50685897282919,629.23
09/02/2023 07:00:00,09/02/2023 08:00:00,7.78803987097449,689.06
09/02/2023 08:00:00,09/02/2023 09:00:00,7.63543598820898,769.66
09/02/2023 09:00:00,09/02/2023 10:00:00,7.70508180453566,802.85
09/02/2023 10:00:00,09/02/2023 11:00:00,7.64004776638693,781.42
09/02/2023 11:00:00,09/02/2023 12:00:00,6.9949229698099,716.9
09/02/2023 12:00:00,09/02/2023 13:00:00,6.39427780257608,692.56
09/02/2023 13:00:00,09/02/2023 14:00:00,6.2233187590117,678.35
09/02/2023 14:00:00,09/02/2023 15:00:00,6.27894559767909,647.02
09/02/2023 15:00:00,09/02/2023 16:00:00,6.77717975775269,645.53
09/02/2023 16:00:00,09/02/2023 17:00:00,7.01153028678709,650.07
09/02/2023 17:00:00,09/02/2023 18:00:00,7.17502543555578,647.16
09/02/2023 18:00:00,09/02/2023 19:00:00,6.65311653093894,649.7
09/02/2023 19:00:00,09/02/2023 20:00:00,6.71929666810009,638.53
09/02/2023 20:00:00,09/02/2023 21:00:00,6.8612382308801,625.29
09/02/2023 21:00:00,09/02/2023 22:00:00,6.83011264663034,621.34
09/02/2023 22:00:00,09/02/2023 23:00:00,6.85939020685646,624.62
09/02/2023 23:00:00,10/02/2023 00:00:00,6.77969137597667,620.15
10/02/2023 00:00:00,10/02/2023 01:00:00,6.79678450105773,580.99
10/02/2023 01:00:00,10/02/2023 02:00:00,6.80002567403369,592.3
10/02/2023 02:00:00,10/02/2023 03:00:00,6.82170133446614,622.22
10/02/2023 03:00:00,10/02/2023 04:00:00,6.95217192732705,634.79
10/02/2023 04:00:00,10/02/2023 05:00:00,7.72833779017025,659.87
10/02/2023 05:00:00,10/02/2023 06:00:00,7.89653228172647,706.76
10/02/2023 06:00:00,10/02/2023 07:00:00,8.10747297305028,795.76
10/02/2023 07:00:00,10/02/2023 08:00:00,7.61546064014064,1235.88
10/02/2023 08:00:00,10/02/2023 09:00:00,7.63986108037392,1310.52
10/02/2023 09:00:00,10/02/2023 10:00:00,7.43924261394474,1072.23
10/02/2023 10:00:00,10/02/2023 11:00:00,7.26322821373357,847.86
10/02/2023 11:00:00,10/02/2023 12:00:00,7.02567221593565,740.32
10/02/2023 12:00:00,10/02/2023 13:00:00,6.77149754035897,706.46
10/02/2023 13:00:00,10/02/2023 14:00:00,6.72313952976121,671.18
10/02/2023 14:00:00,10/02/2023 15:00:00,6.90156481630246,615.67
10/02/2023 15:00:00,10/02/2023 16:00:00,7.34191441564004,608.6
10/02/2023 16:00:00,10/02/2023 17:00:00,7.48467667823977,597.21
10/02/2023 17:00:00,10/02/2023 18:00:00,7.45086690611548,603.39
10/02/2023 18:00:00,10/02/2023 19:00:00,6.91613341041989,593.12
10/02/2023 19:00:00,10/02/2023 20:00:00,6.81838313749419,578.01
10/02/2023 20:00:00,10/02/2023 21:00:00,6.77853603009145,544.08
10/02/2023 21:00:00,10/02/2023 22:00:00,6.68202942207045,527.93
10/02/2023 22:00:00,10/02/2023 23:00:00,6.56421660685009,499.2
10/02/2023 23:00:00,11/02/2023 00:00:00,6.45589886225806,334.89
11/02/2023 00:00:00,11/02/2023 01:00:00,6.35036924435351,557.82
11/02/2023 01:00:00,11/02/2023 02:00:00,6.31422321742217,577.84
11/02/2023 02:00:00,11/02/2023 03:00:00,6.37387295366234,576.8
11/02/2023 03:00:00,11/02/2023 04:00:00,6.43315267961952,573.45
11/02/2023 04:00:00,11/02/2023 05:00:00,7.03708204539299,576.58
11/02/2023 05:00:00,11/02/2023 06:00:00,6.96341746536043,566.53
11/02/2023 06:00:00,11/02/2023 07:00:00,6.96070788897567,580.97
11/02/2023 07:00:00,11/02/2023 08:00:00,6.60601792010731,587.59
11/02/2023 08:00:00,11/02/2023 09:00:00,6.82241917444626,595.41
11/02/2023 09:00:00,11/02/2023 10:00:00,6.88880274790843,607.17
11/02/2023 10:00:00,11/02/2023 11:00:00,6.69169899765757,612.83
11/02/2023 11:00:00,11/02/2023 12:00:00,6.62239972489675,607.17
11/02/2023 12:00:00,11/02/2023 13:00:00,6.49733220911265,600.03
11/02/2023 13:00:00,11/02/2023 14:00:00,6.39518641804695,603.9
11/02/2023 14:00:00,11/02/2023 15:00:00,6.57740519530508,609.7
11/02/2023 15:00:00,11/02/2023 16:00:00,6.19973250737084,599.21
11/02/2023 16:00:00,11/02/2023 17:00:00,6.29324440583759,660.25
11/02/2023 17:00:00,11/02/2023 18:00:00,6.07267193821351,744.23
11/02/2023 18:00:00,11/02/2023 19:00:00,6.2666841952822,832.82
11/02/2023 19:00:00,11/02/2023 20:00:00,6.2992057518771,809.51
11/02/2023 20:00:00,11/02/2023 21:00:00,6.24834706165499,743.26
11/02/2023 21:00:00,11/02/2023 22:00:00,6.16391683166477,731.05
11/02/2023 22:00:00,11/02/2023 23:00:00,6.23353642699348,703.51
11/02/2023 23:00:00,12/02/2023 00:00:00,6.08517294530206,706.04
12/02/2023 00:00:00,12/02/2023 01:00:00,6.05033352913459,965.7
12/02/2023 01:00:00,12/02/2023 02:00:00,6.04559443256007,934.21
12/02/2023 02:00:00,12/02/2023 03:00:00,6.0633376388616,981.11
12/02/2023 03:00:00,12/02/2023 04:00:00,6.24143800829146,949.69
12/02/2023 04:00:00,12/02/2023 05:00:00,6.7472543331827,881.88
12/02/2023 05:00:00,12/02/2023 06:00:00,6.74447577743663,885.08
12/02/2023 06:00:00,12/02/2023 07:00:00,6.71525664502356,804.15
12/02/2023 07:00:00,12/02/2023 08:00:00,6.26579589021312,864.83
12/02/2023 08:00:00,12/02/2023 09:00:00,6.51262650811963,1056.9
12/02/2023 09:00:00,12/02/2023 10:00:00,6.70843208457629,1004.78
12/02/2023 10:00:00,12/02/2023 11:00:00,6.59454405272192,1002.18
12/02/2023 11:00:00,12/02/2023 12:00:00,6.41401449846162,900.34
12/02/2023 12:00:00,12/02/2023 13:00:00,6.2787251561194,790.61
12/02/2023 13:00:00,12/02/2023 14:00:00,6.26147684976604,756.88
12/02/2023 14:00:00,12/02/2023 15:00:00,6.52665982094738,740.73
